,0
0,-2.530562108693398e-21
1,-1.8016831764121777e-21
2,-2.0856630174939296e-21
3,-0.055527138048832116
4,-2.258891495404534e-21
5,-1.2299653615525333e-18
6,-4.988946438443981e-20
7,-2.1555355012714414e-21
8,-6.253360626794796e-21
9,-2.0494997024671025e-21
10,-2.162480026835832e-21
11,-1.865251702302113e-21
12,-2.1857489370502785e-21
13,-0.13229224178284132
14,-1.8740504612014435e-21
15,-2.242463586960164e-21
16,-2.0863580039514293e-21
17,-3.2480334622637368e-21
18,-0.5831617130485642
19,-2.4397300019888741e-26
20,-1.789123961753869e-21
21,-1.1221758624528608e-20
22,-1.6816860703542362e-19
23,-4.894049384651444e-21
24,-2.261709898203662e-22
25,-2.776748608304421e-21
26,-1.0077133239790288e-23
27,-2.126587562467647e-21
28,-3.904467050391398e-27
29,-1.3268201289039587e-20
30,-3.3054293408969347e-21
31,-1.419913096933756e-20
32,-2.044431782332924e-21
33,-1.8521277452772002e-21
34,-2.051611849141839e-21
35,-3.6917278745085114e-21
36,-2.3639191678373237e-21
37,1.0425669863305043e-21
38,2.0644386359528678e-21
39,1.3971518426931908e-21
40,0.05552713804882919
41,8.684819167062177e-22
42,8.927998266281236e-18
43,6.477411300654663e-20
44,1.3063688966832408e-21
45,1.713961512430021e-21
46,5.078466344622836e-22
47,2.2754695493227163e-21
48,2.009328552790029e-21
49,7.048851945789514e-22
50,0.13229224178284424
51,1.7229100965256367e-21
52,1.135885460663023e-21
53,2.3478173776466158e-21
54,8.035262893549782e-22
55,0.5831617130485515
56,1.7467317237110482e-21
57,5.598951374079068e-22
58,3.963113794207569e-21
59,2.6398753509188595e-19
60,5.901815371217457e-19
61,9.051422000994753e-19
62,7.952045309792075e-22
63,1.2453943699792075e-22
64,3.1250878809087954e-21
65,2.356951451734472e-22
66,2.3428049475662324e-21
67,8.972334733208227e-22
68,3.2523483231560167e-21
69,1.2552208784609274e-21
70,2.013171916252424e-21
71,1.9861828421385946e-21
72,1.0075554460906233e-21
73,1.0227785304298928e-21
74,21.892700000000254
